# Not yet referenced in source

# === game-logic ===
0040C460 FUN_0040c460

# === marni-dx11 ===

# === crt / seh-glue / d3d5-superseded / fmv-superseded / imports ===
00484180 [seh-glue] tmd_pair_register_cleanup
00484190 [seh-glue] tmd_pair_cleanup
004841B0 [seh-glue] tmd_single_static_init
004841C0 [seh-glue] tmd_single_construct
004841D0 [seh-glue] tmd_single_register_cleanup
004841E0 [seh-glue] tmd_single_cleanup
00484790 [seh-glue] door_complex_obj_static_init
004847A0 [seh-glue] door_complex_obj_construct
004847B0 [seh-glue] door_complex_obj_register_cleanup
004847C0 [seh-glue] door_complex_obj_cleanup
004847D0 [seh-glue] door_tmd_array_static_init
004847E0 [seh-glue] door_tmd_array_construct_all
00484800 [seh-glue] door_tmd_array_register_cleanup
00484810 [seh-glue] door_tmd_array_cleanup
00484BC0 [seh-glue] menu_complex_obj_static_init
00484BD0 [seh-glue] menu_complex_obj_construct
00484BE0 [seh-glue] menu_complex_obj_register_cleanup
00484BF0 [seh-glue] menu_complex_obj_cleanup
00484C00 [seh-glue] menu_tmd_single_static_init
00484C10 [seh-glue] menu_tmd_single_construct
00484C20 [seh-glue] menu_tmd_single_register_cleanup
00484C30 [seh-glue] menu_tmd_single_cleanup
00485010 [seh-glue] viewport_arr1_static_init
00485040 [seh-glue] viewport_arr1_register_cleanup
00485050 [seh-glue] viewport_arr1_cleanup
00485070 [seh-glue] viewport_arr2_static_init
00485080 [seh-glue] viewport_arr2_construct_all
004850A0 [seh-glue] viewport_arr2_register_cleanup
004850B0 [seh-glue] viewport_arr2_cleanup
00486220 [seh-glue] effect_viewport_arr_static_init
00486230 [seh-glue] effect_viewport_arr_construct_all
00486250 [seh-glue] effect_viewport_arr_register_cleanup
00486260 [seh-glue] effect_viewport_arr_cleanup
00486930 [seh-glue] object_list_viewport_arr_static_init
00486940 [seh-glue] object_list_viewport_arr_construct_all
00486960 [seh-glue] object_list_viewport_arr_register_cleanup
00486970 [seh-glue] object_list_viewport_arr_cleanup
00496F70 [seh-glue] keymap_static_init
00496F80 [seh-glue] keymap_init_step
00496F90 [seh-glue] keymap_register_cleanup
00496FA0 [seh-glue] keymap_cleanup
00496FB0 [seh-glue] trig_table_static_init
00496FC0 [seh-glue] trig_table_construct
00496FD0 [seh-glue] trig_table_register_cleanup
00496FE0 [seh-glue] trig_table_cleanup
00496FF0 [seh-glue] font_ctx_static_init
00497000 [seh-glue] font_ctx_construct_all
00497020 [seh-glue] font_ctx_register_cleanup
00497030 [seh-glue] font_ctx_cleanup
00497050 [seh-glue] font_ctx_element_ctor
00497253 [seh-glue] charselect_seh_frame_handler
00401172 [d3d5-superseded] dispres_set_width_640
00401183 [d3d5-superseded] dispres_set_height_480
00401193 [d3d5-superseded] dispres_set_mode_tail
004011D3 [d3d5-superseded] dispres_seh_dtor_tail
00401213 [d3d5-superseded] d3d_reload_dtor_tail
0040C3D0 [d3d5-superseded] ent_setanim_walkto_helper
0040C4C0 [d3d5-superseded] directfont_destructor
0040C580 [d3d5-superseded] directfont_dtor_seh
0040C5E9 [d3d5-superseded] directfont_dtor_frame_handler
0040C600 [d3d5-superseded] directfont_constructor
0040C740 [d3d5-superseded] directfont_load_texture
0040C8BD [d3d5-superseded] directfont_cleanup_tail
00419C10 [d3d5-superseded] ddraw_caps_debug_print
0041A4C0 [d3d5-superseded] PrintDirectDrawError
